X_value,Y_value,Z_value
46.93951612903224,-8.947328771673749e-15,-25.000000000000018
40.396260997067444,-9.748646417010268e-15,-35.000000000000014
29.864736070381213,-1.1038386246170954e-14,-45.00000000000002
9.26282991202342,-1.3561392089487653e-14,-55.00000000000002
36.399151012347254,36.39915101234724,-25.00000000000001
31.917784025567855,31.91778402556784,-35.000000000000014
24.86745248294538,24.86745248294536,-45.000000000000014
11.656893754956542,11.656893754956513,-55.000000000000014
7.34788079488412e-15,58.36217008797654,-25.0
7.34788079488412e-15,52.91568914956012,-35.0
7.34788079488412e-15,44.73350439882698,-45.0
7.34788079488412e-15,31.379032258064512,-55.0
-41.616396353887865,41.61639635388788,-25.000000000000007
-37.63295903230617,37.63295903230618,-35.00000000000001
-31.671022421576055,31.67102242157607,-45.00000000000001
-22.060539237538798,22.060539237538812,-55.00000000000001
-58.100439882697934,1.469576158976824e-14,-25.000000000000014
-53.33944281524926,1.469576158976824e-14,-35.000000000000014
-46.07331378299119,1.469576158976824e-14,-45.000000000000014
-35.24266862170087,1.469576158976824e-14,-55.00000000000002
-36.773699875549084,-36.773699875549056,-25.000000000000007
-33.18243724602577,-33.18243724602574,-35.00000000000001
-27.797746530347858,-27.79774653034783,-45.00000000000001
-19.222780791633284,-19.222780791633255,-55.00000000000001
-2.2043642384652355e-14,-48.9149560117302,-25.0
-2.2043642384652355e-14,-44.08541055718476,-35.0
-2.2043642384652355e-14,-36.713343108504404,-45.0
-2.2043642384652355e-14,-25.564882697947212,-55.0
36.10391837899992,-36.10391837899995,-25.00000000000001
